loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Calhoun,Watson Addition",,Calhoun,,Tinsman Watson,6,0,58,12,50,1,11,3,49,55,7
"Calhoun,Woodberry",,Calhoun,,Woodberry,19,1,101,20,98,2,22,1,97,105,13
"Carroll,BEAVER",,Carroll,,BEAVER,116,5,101,115,99,7,116,7,98,106,111
"Carroll,BV WARDS 1 and 2",,Carroll,,BV WARDS 1 and 2,277,33,813,305,783,32,311,40,769,846,255
"Carroll,CARROLLTON",,Carroll,,CARROLLTON,32,7,178,35,173,9,38,5,173,179,36
"Carroll,DRY FORK",,Carroll,,DRY FORK,14,1,73,15,71,2,17,1,69,75,10
"Carroll,ES WARDS 1, 2, 3",,Carroll,,"ES WARDS 1, 2, 3",651,28,304,663,277,41,674,35,273,363,596
"Carroll,GF WARDS 1 and 2",,Carroll,,GF WARDS 1 and 2,95,10,337,107,321,15,115,14,312,352,87
"Carroll,HOLIDAY ISLAND",,Carroll,,HOLIDAY ISLAND,491,21,807,526,760,34,543,37,737,840,449
"Carroll,JOHNSON SPRINGS",,Carroll,,JOHNSON SPRINGS,486,25,507,504,480,32,506,31,478,551,440
"Carroll,KINGS RIVER",,Carroll,,KINGS RIVER,98,8,197,107,186,10,101,10,194,208,93
"Carroll,LIBERTY",,Carroll,,LIBERTY,21,1,43,19,46,0,22,0,42,48,14
"Carroll,NE/NW HICKORY/COIN/LNG CRK",,Carroll,,NE/NW HICKORY/COIN/LNG CRK,123,19,559,138,546,16,143,15,537,583,109
"Carroll,NORTH YOCUM",,Carroll,,NORTH YOCUM,21,1,168,23,164,4,26,3,161,171,20
"Carroll,OMEGA",,Carroll,,OMEGA,34,1,110,40,102,3,45,0,99,113,30
"Carroll,OSAGE",,Carroll,,OSAGE,23,4,81,24,79,5,27,6,75,86,20
"Carroll,PACKARD SPRINGS",,Carroll,,PACKARD SPRINGS,107,5,123,121,106,7,120,5,110,119,110
